candidateId,firstName,lastName,affiliation,constituencyId
1,Mike,Henry,1,32
2,Robert,Morgan,1,30
3,Phillip,Henriquez,1,28
4,Newton,Amos,1,38
5,Olivia,Grange,1,40
6,Alando,Terrelonge,1,53
7,Richard,Azan,2,28
8,Shane,Alexis,2,45
9,Rohan,Banks,2,55
10,Desmond,Brennan,2,30
11,Keith,Brown,2,26
12,Kenyama,Brown,2,37
13,Angela,Brown-Burke,2,63
14,Luther,Buchanan,2,7
15,Peter,Bunting,2,2
16,Dayton,Campbell,2,25
17,Lothan,Cousins,2,31
18,Denise,Daley,2,41
19,Horace,Dalley,2,29
20,Imani,Duncan-Price,2,61
21,Patricia,Duncan-Sutherland,2,33
22,Colin,Fagan,2,52
23,Fenton,Ferguson,2,51
24,Marsha,Francis,2,49
25,Lloyd,Gillings,2,17
26,Mark,Golding,2,65
27,Joan,Gordon-Webley,2,47
28,Hugh,Graham,2,38
29,Morais,Guy,2,44
30,George,Hamilton,2,14
31,Lisa,Hanna,2,27
32,Andre,Haughton,2,12
33,Ian,Hayles,2,4
34,Michael,Hemmings,2,15
35,Wavell,Hinds,2,5
36,George,Hylton,2,54
37,Andre,Hylton,2,13
38,Fitz,Jackson,2,36
39,Purcell,Jackson,2,50
40,Donald,Jackson,2,23
41,Zulieka,Jess,2,32
42,Ryan,Keating,2,10
43,Oneil,Lynch,2,56
44,Kurt,Matthews,2,35
45,Wykeham,McNeil,2,6
46,Natalie,Neita-Headley,2,39
47,Valerie,Neita-Robertson,2,48
48,Phillip,Paulwell,2,60
49,Mikael,Phillips,2,22
50,Peter,Phillips,2,64
51,Venesha,Phillips,2,59
52,Raymond,Pryce,2,53
53,Patrick,Roberts,2,1
54,Julian,Robinson,2,58
55,Oswest,Senior-Smith,2,42
56,Walton,Small,2,11
57,Dwaine,Spencer,2,19
58,Jason,Stanford,2,43
59,Ewan,Stephenson,2,9
60,Michael,Stewart,2,20
61,Krystal,Tomlinson,2,46
62,David,Tulloch,2,57
63,Dwayne,Vaz,2,8
64,Basil,Waite,2,18
65,Kurt,Waul,2,34
66,Maurice,Westney,2,40
67,Valenton,Wint,2,24
68,Joseph,Witter,2,62
69,Victor,Wright,2,16
70,Edmund,Bartlett,1,15
71,Dave,Brown,1,5
72,Natalie,Campbell-Rodriquez,1,39
73,Horace,Chang,1,14
74,Pearnel,Charles Jr,1,33
75,Michelle,Charles-Freeman,1,51
76,Robert,Chin,1,20
77,Delroy,Chuck,1,57
78,Heroy,Clarke,1,13
79,Nigel,Clarke,1,55
80,Rhoda,Crawford,1,2
81,Juliet,Cuthbert-Flynn,1,46
82,Marisa,Dalrymple-Philibert,1,17
83,Homer,Davis,1,11
84,Tamika,Davis,1,4
85,Delroy,Dobney,1,36
86,Kari,Douglas,1,58
87,Norman,Dunn,1,45
88,Dorlan,Francis,1,54
89,Kent,Gammon,1,31
90,Delroy,Grantson,1,27
91,Floyd,Green,1,9
92,Tova,Hamilton,1,16
93,Andrew,Holness,1,1
94,Juliet,Holness,1,47
95,William,Hutchinson,1,10
96,Victor,Hyde,1,65
97,Daniel,Lawrence,1,7
98,Krystal,Lee,1,25
99,Moureen,Lorne,1,63
100,Marlene,Malahoo-Forte,1,12
101,Zavia,Mayne,1,24
102,Desmond,McKenzie,1,62
103,Robert,Miller,1,52
104,Robert,Montague,1,43
105,Kerensia,Morrison,1,42
106,Jodian,Myrie,1,64
107,Dwight,Pecoo,1,41
108,Egwugwu,Priestly,1,60
109,Lennon,Richards,1,44
110,James,Robertson,1,49
111,Karl,Samuda,1,56
112,Audley,Shaw,1,23
113,Dwight,Sibblies,1,29
114,Delroy,Slowley,1,18
115,Marsha,Smith,1,26
116,Christopher,Tufton,1,37
117,Daryl,Vaz,1,48
118,Ann-Marie,Vaz,1,50
119,Everald,Warmington,1,34
120,Andrew,Wheatley,1,35
121,Donavan,Williams,1,61
122,Fayval,Williams,1,59
123,Morland,Wilson,1,6
124,Franklyn,Witter,1,19
125,George,Wright,1,8
126,Damion,Young,1,22
127,Torraino,Beckford,3,8
128,Ras-Astor,Black,3,13
129,Upton,Blake,3,34
130,Rohan,Chung,3,2
131,Merrick,Cohen,3,28
132,Genieve,Dawkins,3,16
133,Gene,Guthrie,3,38
134,John,Henry,3,39
135,Haile,Mika'el,3,7
136,Richard,Sharpe,3,17
